Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,3327.21533203125,3518.12109375,3254.4892578125,3499.939453125,2728.66552734375,3002470389
2019-01-31,3527.2119140625,3636.30078125,3409.031982421875,3499.939453125,2728.66552734375,2022030167
2019-02-28,3518.12109375,3763.5712890625,3436.30419921875,3736.299072265625,2912.938232421875,1649003492
2019-03-31,3763.5712890625,4299.92578125,3754.480712890625,3972.65869140625,3097.212158203125,2106681909
2019-04-30,3972.65869140625,4018.1123046875,3327.21533203125,3727.208251953125,2905.85107421875,3630835012
2019-05-31,3727.208251953125,3999.930908203125,3727.208251953125,3963.56787109375,3199.983154296875,1851234179
2019-06-30,3999.930908203125,4145.3828125,3963.56787109375,4072.656982421875,3288.056396484375,1822405647
2019-07-31,4081.74755859375,4099.92919921875,3636.30078125,3881.751220703125,3133.928466796875,2603958915
2019-08-31,3881.751220703125,3954.47705078125,3654.482421875,3745.389892578125,3023.83740234375,2102141468
2019-09-30,3745.389892578125,3927.204833984375,3463.576416015625,3827.20654296875,3089.891845703125,2666323173
2019-10-31,3836.29736328125,3936.295654296875,3545.393310546875,3718.11767578125,3001.819091796875,2715345851
2019-11-30,3772.662109375,4063.566162109375,3745.389892578125,3999.930908203125,3229.341064453125,1978603505
2019-12-31,3999.930908203125,4327.19775390625,3927.204833984375,4054.475341796875,3273.37744140625,2586794660
2020-01-31,4054.475341796875,4263.5625,3554.484130859375,3809.025146484375,3075.21337890625,2679201317
2020-02-29,3809.025146484375,3909.0234375,2218.1435546875,2745.4072265625,2302.967529296875,5926485670
2020-03-31,2736.31640625,2945.403564453125,2327.232421875,2481.775390625,2081.821533203125,6251465496
2020-04-30,2481.775390625,2681.77197265625,1963.6024169921875,2681.77197265625,2249.58740234375,6858676978
2020-05-31,2681.77197265625,3063.58349609375,2545.41064453125,2754.497802734375,2310.593017578125,6125783266
2020-06-30,2763.588623046875,2954.494384765625,2754.497802734375,2872.677734375,2409.7275390625,3422477773
2020-07-31,2881.768310546875,3472.667236328125,2699.953369140625,3190.85400390625,2676.62744140625,3790650614
2020-08-31,3227.217041015625,3354.487548828125,2727.2255859375,2763.588623046875,2318.21875,4403816384
2020-09-30,2809.04248046875,3090.855712890625,2781.77001953125,3054.49267578125,2562.241943359375,3060399040
2020-10-31,3054.49267578125,3990.840087890625,2990.857421875,3718.11767578125,3118.91943359375,5351717386
2020-11-30,3754.480712890625,4045.384765625,3590.84716796875,3790.843505859375,3179.925048828125,3142266304
2020-12-31,3790.843505859375,4499.92236328125,3772.662109375,3799.934326171875,3187.551025390625,3959785904
2021-01-31,3799.934326171875,4427.1962890625,3599.937744140625,4281.744140625,3591.714111328125,2987561172
2021-02-28,4363.56103515625,4436.287109375,3872.660400390625,3999.930908203125,3355.31689453125,2715949977
2021-03-31,3954.47705078125,4054.475341796875,3681.754638671875,3681.754638671875,3088.416748046875,3027373941
2021-04-30,3690.845458984375,3890.841796875,3472.667236328125,3872.660400390625,3326.9013671875,3046403062
2021-05-31,3872.660400390625,3990.840087890625,3509.0302734375,3581.75634765625,3076.993896484375,3657802639
2021-06-30,3581.75634765625,3663.572998046875,3363.578369140625,3372.6689453125,2897.372314453125,2345538161
2021-07-31,3427.213623046875,3718.11767578125,3363.578369140625,3572.66552734375,3069.18408203125,2469802250
2021-08-31,3572.66552734375,3880.0,3463.576416015625,3850.0,3307.434814453125,6073477827
2021-09-30,3850.0,4460.0,3830.0,4250.0,3651.064453125,4745652300
2021-10-31,4330.0,4340.0,4080.0,4090.0,3513.6123046875,2919948500
2021-11-30,4090.0,4250.0,4050.0,4110.0,3530.794189453125,2371759500
2021-12-31,4120.0,4240.0,4000.0,4070.0,3496.43115234375,2155349200
2022-01-31,4070.0,4550.0,4060.0,4550.0,3908.786376953125,3079276500
2022-02-28,4850.0,4860.0,4370.0,4660.0,4003.28466796875,4613209200
2022-03-31,4690.0,4980.0,4530.0,4870.0,4349.53564453125,3026100600
2022-04-30,4870.0,4870.0,4250.0,4630.0,4135.1845703125,3667527100
2022-05-31,4630.0,4630.0,4120.0,4150.0,3706.48291015625,3367868300
2022-06-30,4150.0,4430.0,3960.0,4360.0,3894.040283203125,2883007400
2022-07-31,4390.0,4470.0,4220.0,4340.0,3876.177490234375,3068759600
2022-08-31,4320.0,4700.0,4310.0,4490.0,4010.146728515625,4101714400
2022-09-30,4500.0,4680.0,4260.0,4650.0,4153.04736328125,3532993300
2022-10-31,4690.0,4980.0,4490.0,4980.0,4447.77978515625,3796100300
2022-11-30,5000.0,5025.0,4710.0,4940.0,4412.05517578125,3516745800
2022-12-31,4910.0,4920.0,4360.0,4580.0,4090.5283203125,3515371800
2023-01-31,4630.0,4900.0,4600.0,4670.0,4223.35693359375,2662974600
2023-02-28,4730.0,4920.0,4640.0,4730.0,4277.6181640625,2858072700
2023-03-31,4770.0,5275.0,4760.0,5100.0,4840.65234375,1949491800
2023-04-30,5100.0,5625.0,5025.0,5575.0,5291.4970703125,3701713200
2023-05-31,5575.0,5600.0,5350.0,5425.0,5149.125,1868006700
2023-06-30,5500.0,5750.0,5375.0,5650.0,5362.68310546875,2247933300
2023-07-31,5650.0,5750.0,5450.0,5550.0,5267.7685546875,2232087900
2023-08-31,5600.0,5650.0,5175.0,5225.0,4959.29541015625,2114247000
2023-09-30,5250.0,5375.0,4920.0,4960.0,4707.771484375,2670566700
2023-10-31,4920.0,5450.0,4830.0,5275.0,5006.7529296875,2647435000
2023-11-30,5275.0,5750.0,5275.0,5725.0,5433.869140625,2573450600
2023-12-31,5725.0,5900.0,5400.0,5700.0,5410.140625,2623770000
2024-01-31,5775.0,6375.0,5725.0,6125.0,5900.09765625,2636876600
2024-02-29,6175.0,6450.0,5950.0,6050.0,5827.8515625,2526094000
2024-03-31,6000.0,6025.0,4680.0,4940.0,4940.0,6246945100
2024-04-30,4910.0,5050.0,4310.0,4340.0,4340.0,6705074600
2024-05-31,4430.0,4640.0,4090.0,4600.0,4600.0,5788893000
2024-06-30,4630.0,4980.0,4560.0,4670.0,4670.0,4928458900
2024-07-31,4710.0,5325.0,4510.0,5150.0,5150.0,4959917100
2024-08-31,5150.0,5575.0,4950.0,4950.0,4950.0,5477415700
2024-09-30,4970.0,5075.0,4630.0,4800.0,4800.0,5301744600
2024-10-31,4770.0,4820.0,4250.0,4250.0,4250.0,5485839800
2024-11-29,4280.0,4300.0,4250.0,4250.0,4250.0,412519800
