Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,3327.21533203125,3372.6689453125,3254.4892578125,3327.21533203125,2594.003662109375,393261300
2019-01-07,3327.21533203125,3445.39501953125,3299.943115234375,3445.39501953125,2686.140380859375,622179324
2019-01-14,3427.213623046875,3499.939453125,3399.941162109375,3454.48583984375,2693.22802734375,595676566
2019-01-21,3427.213623046875,3472.667236328125,3390.8505859375,3436.30419921875,2679.052734375,748051639
2019-01-28,3436.30419921875,3590.84716796875,3318.12451171875,3545.393310546875,2764.102294921875,880973315
2019-02-04,3545.393310546875,3581.75634765625,3499.939453125,3518.12109375,2742.840087890625,324585684
2019-02-11,3545.393310546875,3545.393310546875,3409.031982421875,3490.848876953125,2721.577880859375,554503626
2019-02-18,3545.393310546875,3636.30078125,3481.758056640625,3599.937744140625,2806.626953125,623693720
2019-02-25,3599.937744140625,3609.028564453125,3490.848876953125,3527.2119140625,2749.927490234375,422882502
2019-03-04,3545.393310546875,3563.57470703125,3463.576416015625,3509.0302734375,2735.752685546875,334023517
2019-03-11,3527.2119140625,3663.572998046875,3436.30419921875,3636.30078125,2834.9765625,429522546
2019-03-18,3672.663818359375,3699.93603515625,3599.937744140625,3645.3916015625,2842.064208984375,474025135
2019-03-25,3681.754638671875,3781.7529296875,3645.3916015625,3772.662109375,2941.288330078125,343655504
2019-04-01,3790.843505859375,3899.9326171875,3754.480712890625,3863.569580078125,3012.16259765625,255189996
2019-04-08,3890.841796875,3963.56787109375,3872.660400390625,3954.47705078125,3083.037109375,540940722
2019-04-15,3936.295654296875,4299.92578125,3927.204833984375,4036.2939453125,3146.824462890625,412326940
2019-04-22,4009.021728515625,4045.384765625,3827.20654296875,3945.386474609375,3075.949951171875,684107093
2019-04-29,3990.840087890625,4018.1123046875,3809.025146484375,3845.38818359375,2997.98779296875,557930296
2019-05-06,3827.20654296875,3890.841796875,3718.11767578125,3727.208251953125,2905.851318359375,647297047
2019-05-13,3636.30078125,3718.11767578125,3327.21533203125,3409.031982421875,2657.79052734375,821774251
2019-05-20,3454.48583984375,3609.028564453125,3372.6689453125,3563.57470703125,2778.277099609375,889222357
2019-05-27,3572.66552734375,3745.389892578125,3463.576416015625,3727.208251953125,3009.158447265625,855197889
2019-06-03,3727.208251953125,3881.751220703125,3727.208251953125,3845.38818359375,3104.57080078125,216423568
2019-06-10,3863.569580078125,3863.569580078125,3772.662109375,3818.115966796875,3082.552490234375,498851024
2019-06-17,3799.934326171875,3963.56787109375,3799.934326171875,3918.1142578125,3163.286376953125,754656152
2019-06-24,3954.47705078125,4018.1123046875,3899.9326171875,4018.1123046875,3244.01953125,496634817
2019-07-01,4018.1123046875,4018.1123046875,3963.56787109375,3999.930908203125,3229.3408203125,382261441
2019-07-08,3972.65869140625,4145.3828125,3972.65869140625,4118.11083984375,3324.753173828125,407714009
2019-07-15,4090.83837890625,4136.2919921875,4036.2939453125,4090.83837890625,3302.73486328125,366403676
2019-07-22,4090.83837890625,4109.02001953125,3999.930908203125,4054.475341796875,3273.377197265625,358642383
2019-07-29,4090.83837890625,4099.92919921875,3881.751220703125,3881.751220703125,3133.92822265625,647247546
2019-08-05,3727.208251953125,3981.74951171875,3654.482421875,3909.0234375,3155.946533203125,683637826
2019-08-12,3936.295654296875,3954.47705078125,3754.480712890625,3799.934326171875,3067.873779296875,486885898
2019-08-19,3799.934326171875,3818.115966796875,3636.30078125,3699.93603515625,2987.14013671875,477529135
2019-08-26,3754.480712890625,3890.841796875,3709.02685546875,3836.29736328125,3097.231689453125,576032756
2019-09-02,3799.934326171875,3899.9326171875,3727.208251953125,3790.843505859375,3060.5341796875,453996100
2019-09-09,3799.934326171875,3954.47705078125,3727.208251953125,3809.025146484375,3075.21337890625,505355325
2019-09-16,3781.7529296875,3872.660400390625,3754.480712890625,3799.934326171875,3067.873779296875,635860481
2019-09-23,3781.7529296875,3827.20654296875,3654.482421875,3745.389892578125,3023.83740234375,431608072
2019-09-30,3745.389892578125,3754.480712890625,3463.576416015625,3545.393310546875,2862.370361328125,708498145
2019-10-07,3599.937744140625,3627.2099609375,3527.2119140625,3563.57470703125,2877.049072265625,613232649
2019-10-14,3609.028564453125,3809.025146484375,3536.302490234375,3745.389892578125,3023.83740234375,549330346
2019-10-21,3709.02685546875,3927.204833984375,3699.93603515625,3845.38818359375,3104.57080078125,569183599
